station=943260 
Lat = 23.8 S 
Lon = 133.88 E 
Stn Number,Country Code,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec 
9.4326e+05,501,1989,27.5,28.3,24.15,19.3,15.8,11.3,10.25,11.65,18.8,25.55,23.95,28.1
9.4326e+05,501,1990,30.4,26.8,26.6,20.6,16.75,11.55,13.7,15.2,17.9,24.1,28.45,29.6
9.4326e+05,501,1991,28.95,28.2,25.7,20.9,15,16.55,13,15.5,21.1,24.8,27.8,28
9.4326e+05,501,1992,28.3,30.3,27.4,22.8,16.7,13.6,12.1,15,20.1,21.4,25.2,27
9.4326e+05,501,1993,29.5,28.3,27.1,NaN,17.3,11.4,12.9,14.7,18.2,21.9,27.4,27.3
9.4326e+05,501,1994,31.1,28.7,23.9,19.5,15.7,NaN,10.7,12,19.3,23.8,25.7,29.6
9.4326e+05,501,1995,29,27.9,23.8,20.4,14.4,13,12.7,14.9,21.1,22.5,26.9,28.6
9.4326e+05,501,1996,29.6,28.6,NaN,20.3,15.3,16.6,14.9,16.1,22.4,24.1,27.6,29.4
9.4326e+05,501,1997,28.9,27.5,23.7,20.2,15.7,11.4,9.5,14.4,21.7,23.2,27.1,29
9.4326e+05,501,1998,31,29.3,27.6,20.7,16.2,12.8,12.4,15.7,20.4,24.8,25.6,28.1
9.4326e+05,501,1999,31.4,29.2,28.8,19.3,18.6,12.6,12.6,15.5,21.6,23.8,24.1,27.1
9.4326e+05,501,2000,29.6,27.1,25.8,19.6,12.9,10.3,13.7,13.9,20.8,20.3,25.2,26.1
9.4326e+05,501,2001,30,28.1,21.1,18.6,14.7,11,11.1,13.6,19.3,20.7,23.8,25
9.4326e+05,501,2002,27.4,25.5,24.8,23.6,17,11.3,11,13.8,21.3,23.4,26.4,28.1
9.4326e+05,501,2003,29.1,28.5,23.7,22.4,16.1,12.4,11.5,15.6,21.7,22.5,26.4,29
9.4326e+05,501,2004,31.1,29.2,26.2,22.2,15.8,13.4,12.7,15,17.5,25.4,27.2,28.4
9.4326e+05,501,2005,29.3,28.2,26.9,24.7,17,13.6,12.2,14.3,22.2,25.4,26.8,28.9
9.4326e+05,501,2006,33.2,30.7,27.5,21.2,13.7,9.4,12.1,15.4,20.4,26,28.8,28.2
9.4326e+05,501,2007,28,30.3,27.4,22.7,18.6,9.2,12.4,15.1,21.7,25.2,24.6,28.4
9.4326e+05,501,2008,31.4,28,25.2,20.1,15.6,12.9,12.8,12.4,21.2,25,25.8,27.7
9.4326e+05,501,2009,29.2,28.6,27.5,21.2,14.4,13.5,12.9,19.2,22,22,27.3,27.9
9.4326e+05,501,2010,28.3,27.8,23.7,21.4,15.5,11.1,12.1,12.8,16.2,19.2,22.2,26
9.4326e+05,501,2011,29.8,27.5,23.3,18.3,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
